Student ID,Student Name,Gender,Age,Department,Year,Semester,Subject,Internal Marks,Assignment Marks,Practical Marks,Theory Marks,Total Marks,Grade,GPA,Attendance Percentage,Pass/Fail Status
S0096,Student 0096,Male,22,Mechanical,3,1,Machine Learning,28,6,15,46,95,O,9.83,73,Fail
S0097,Student 0097,Female,24,Electronics,2,4,Machine Learning,22,7,9,48,86,A+,8.78,95,Pass
S0098,Student 0098,Male,24,Mechanical,1,6,Mathematics,20,6,12,30,68,B+,6.41,81,Pass
S0099,Student 0099,Female,18,Civil,3,5,Data Structures,22,9,12,43,86,A+,8.97,76,Pass
S0100,Student 0100,Female,20,Computer Science,2,7,Machine Learning,23,6,14,20,63,B+,6.34,71,Fail
S0101,Student 0101,Female,22,Electronics,4,6,Python,28,7,15,20,70,A,7.46,94,Pass
S0102,Student 0102,Female,21,Computer Science,1,8,Mathematics,22,9,9,24,64,B+,6.94,57,Fail
S0103,Student 0103,Female,22,Information Technology,1,4,Machine Learning,20,9,15,31,75,A,8.04,97,Pass
S0104,Student 0104,Female,21,Computer Science,4,2,Cloud Computing,27,9,12,21,69,B+,6.74,99,Pass
S0105,Student 0105,Male,24,Computer Science,3,2,Mathematics,23,10,13,21,67,B+,6.43,80,Pass
S0106,Student 0106,Male,24,Mechanical,1,4,Mathematics,28,10,8,21,67,B+,6.39,76,Pass
S0107,Student 0107,Male,24,Civil,2,2,Machine Learning,21,10,11,46,88,A+,8.59,69,Fail
S0108,Student 0108,Male,19,Civil,1,5,Data Structures,20,10,12,45,87,A+,8.23,66,Fail
S0109,Student 0109,Female,22,Information Technology,3,4,Machine Learning,23,6,10,28,67,B+,6.25,58,Fail
S0110,Student 0110,Male,23,Information Technology,1,8,Cloud Computing,30,8,9,34,81,A+,7.77,87,Pass
S0111,Student 0111,Male,21,Civil,3,8,Mathematics,18,6,15,47,86,A+,8.51,80,Pass
S0112,Student 0112,Female,21,Mechanical,1,2,DBMS,27,7,9,24,67,B+,6.85,72,Fail
S0113,Student 0113,Male,21,Civil,3,8,Machine Learning,27,9,9,45,90,O,8.54,99,Pass
S0114,Student 0114,Female,23,Mechanical,2,7,DBMS,25,9,14,43,91,O,8.88,61,Fail
S0115,Student 0115,Male,23,Electronics,3,3,Mathematics,25,6,9,46,86,A+,8.11,60,Fail
S0116,Student 0116,Female,24,Electronics,2,1,Machine Learning,26,10,13,41,90,O,8.89,62,Fail
S0117,Student 0117,Male,20,Information Technology,3,5,DBMS,19,10,11,24,64,B+,6.38,97,Pass
S0118,Student 0118,Male,22,Civil,3,2,DBMS,27,7,14,47,95,O,10,90,Pass
S0119,Student 0119,Male,22,Electronics,1,3,DBMS,29,8,13,31,81,A+,7.72,55,Fail
S0120,Student 0120,Female,21,Mechanical,1,3,Mathematics,28,6,9,43,86,A+,8.26,88,Pass
S0121,Student 0121,Male,23,Electronics,2,6,DBMS,29,8,9,48,94,O,8.99,58,Fail
S0122,Student 0122,Male,20,Information Technology,3,8,Mathematics,24,9,15,33,81,A+,7.76,72,Fail
S0123,Student 0123,Male,21,Mechanical,1,5,Mathematics,28,10,15,36,89,A+,8.67,97,Pass
S0124,Student 0124,Male,18,Civil,1,1,Data Structures,22,7,10,44,83,A+,8.05,71,Fail
S0125,Student 0125,Female,18,Mechanical,4,3,Data Structures,24,10,11,36,81,A+,8.5,90,Pass
S0126,Student 0126,Female,20,Mechanical,1,7,Python,25,6,13,38,82,A+,8.29,82,Pass
S0127,Student 0127,Male,21,Information Technology,4,1,DBMS,20,10,15,46,91,O,9.6,99,Pass
S0128,Student 0128,Male,20,Information Technology,2,7,Machine Learning,24,10,9,32,75,A,7.79,74,Fail
S0129,Student 0129,Male,18,Computer Science,1,2,Machine Learning,26,7,13,31,77,A,8.08,96,Pass
S0130,Student 0130,Female,23,Computer Science,3,4,Data Structures,27,7,9,25,68,B+,6.79,95,Pass
S0131,Student 0131,Female,22,Civil,3,6,Data Structures,25,6,15,34,80,A+,7.76,95,Pass
S0132,Student 0132,Male,23,Information Technology,3,2,DBMS,25,9,8,21,63,B+,6.7,78,Pass
S0133,Student 0133,Female,22,Information Technology,4,8,Machine Learning,26,6,15,49,96,O,9.78,91,Pass
S0134,Student 0134,Male,23,Mechanical,2,1,Cloud Computing,19,8,9,36,72,A,6.81,96,Pass
S0135,Student 0135,Male,24,Mechanical,4,3,DBMS,23,8,14,33,78,A,8.01,76,Pass
S0136,Student 0136,Male,20,Electronics,1,6,Python,26,9,12,28,75,A,8.06,97,Pass
S0137,Student 0137,Female,22,Information Technology,2,6,DBMS,28,9,10,39,86,A+,9.13,100,Pass
S0138,Student 0138,Female,18,Mechanical,3,3,Mathematics,29,10,9,40,88,A+,8.71,97,Pass
S0139,Student 0139,Female,24,Electronics,3,3,Data Structures,23,9,11,27,70,A,6.59,63,Fail
S0140,Student 0140,Male,23,Information Technology,1,6,Machine Learning,20,10,14,24,68,B+,6.42,65,Fail
S0141,Student 0141,Female,19,Mechanical,1,7,DBMS,28,7,15,39,89,A+,9.2,73,Fail
S0142,Student 0142,Female,19,Civil,2,5,Cloud Computing,21,8,15,34,78,A,8.13,73,Fail
S0143,Student 0143,Male,20,Computer Science,2,5,Python,28,9,13,37,87,A+,8.95,61,Fail
S0144,Student 0144,Female,18,Information Technology,2,5,Cloud Computing,26,7,14,22,69,B+,7.28,69,Fail
S0145,Student 0145,Female,18,Mechanical,1,7,Machine Learning,23,7,14,22,66,B+,6.27,78,Pass
S0146,Student 0146,Male,18,Electronics,2,3,Python,22,9,10,44,85,A+,8.46,100,Pass
S0147,Student 0147,Male,18,Information Technology,3,4,Data Structures,26,10,14,23,73,A,6.99,73,Fail
S0148,Student 0148,Male,20,Computer Science,4,8,Python,19,9,8,40,76,A,7.69,87,Pass
S0149,Student 0149,Female,18,Mechanical,1,6,Data Structures,27,9,10,41,87,A+,8.2,97,Pass
S0150,Student 0150,Male,20,Civil,1,7,Cloud Computing,18,9,13,28,68,B+,6.63,56,Fail
S0151,Student 0151,Female,23,Computer Science,1,6,Data Structures,18,8,13,46,85,A+,8.11,96,Pass
S0152,Student 0152,Male,18,Mechanical,2,3,Python,29,9,8,29,75,A,6.95,67,Fail
S0153,Student 0153,Female,24,Electronics,3,7,Machine Learning,25,8,8,44,85,A+,8.13,96,Pass
S0154,Student 0154,Female,20,Information Technology,3,5,Python,30,8,14,48,100,O,10,80,Pass
S0155,Student 0155,Male,21,Computer Science,4,8,DBMS,30,10,12,45,97,O,9.97,60,Fail
S0156,Student 0156,Female,19,Civil,2,5,DBMS,19,6,13,41,79,A,7.67,73,Fail
S0157,Student 0157,Male,18,Mechanical,3,8,Python,29,8,14,28,79,A,8.48,95,Pass
S0158,Student 0158,Female,20,Mechanical,3,3,Python,20,10,15,21,66,B+,6.08,63,Fail
S0159,Student 0159,Female,21,Mechanical,1,3,Mathematics,25,8,13,34,80,A+,8.09,59,Fail
S0160,Student 0160,Male,20,Electronics,3,4,Python,18,7,15,36,76,A,8.1,79,Pass
S0161,Student 0161,Female,19,Electronics,4,4,Machine Learning,22,9,11,23,65,B+,6.92,63,Fail
S0162,Student 0162,Male,24,Mechanical,1,6,Mathematics,23,6,12,48,89,A+,9.32,74,Fail
S0163,Student 0163,Female,21,Electronics,2,2,Data Structures,30,7,11,45,93,O,8.73,86,Pass
S0164,Student 0164,Male,19,Civil,2,2,Python,22,9,15,36,82,A+,8.52,81,Pass
S0165,Student 0165,Male,24,Electronics,1,8,Cloud Computing,28,10,13,24,75,A,7.67,90,Pass
S0166,Student 0166,Male,20,Computer Science,4,1,Python,26,7,12,25,70,A,6.79,65,Fail
S0167,Student 0167,Male,22,Civil,3,2,DBMS,21,10,12,24,67,B+,6.46,95,Pass
S0168,Student 0168,Male,18,Computer Science,2,3,Mathematics,27,10,13,46,96,O,9.05,91,Pass
S0169,Student 0169,Female,21,Information Technology,3,4,Machine Learning,24,10,8,35,77,A,7.75,95,Pass
S0170,Student 0170,Male,20,Computer Science,4,5,Cloud Computing,19,6,10,34,69,B+,6.88,81,Pass
S0171,Student 0171,Male,20,Civil,2,6,Mathematics,23,8,14,24,69,B+,6.92,78,Pass
S0172,Student 0172,Female,24,Computer Science,4,2,DBMS,25,7,10,23,65,B+,6.25,58,Fail
S0173,Student 0173,Female,21,Civil,4,4,Data Structures,23,10,13,26,72,A,7.2,65,Fail
S0174,Student 0174,Female,18,Electronics,4,1,Python,24,10,15,50,99,O,9.56,70,Fail
S0175,Student 0175,Female,19,Information Technology,3,8,Machine Learning,28,9,12,37,86,A+,9.02,55,Fail
S0176,Student 0176,Female,18,Electronics,3,7,DBMS,18,9,8,38,73,A,6.93,90,Pass
S0177,Student 0177,Female,22,Mechanical,4,5,Machine Learning,28,10,9,24,71,A,6.97,61,Fail
S0178,Student 0178,Female,24,Electronics,2,4,Machine Learning,26,9,8,21,64,B+,5.96,57,Fail
S0179,Student 0179,Female,22,Mechanical,4,3,Machine Learning,26,7,13,49,95,O,9.28,94,Pass
S0180,Student 0180,Male,21,Electronics,3,8,Mathematics,27,8,15,46,96,O,9.44,56,Fail
S0181,Student 0181,Male,22,Civil,3,1,Machine Learning,25,8,11,43,87,A+,8.8,58,Fail
S0182,Student 0182,Female,19,Civil,4,3,Mathematics,21,6,9,26,62,B+,6.13,56,Fail
S0183,Student 0183,Male,22,Mechanical,2,7,Machine Learning,30,10,15,47,100,O,10,58,Fail
S0184,Student 0184,Female,22,Electronics,4,7,DBMS,20,9,13,37,79,A,8.11,77,Pass
S0185,Student 0185,Male,23,Mechanical,2,4,DBMS,26,8,11,50,95,O,9.83,74,Fail
S0186,Student 0186,Female,21,Mechanical,3,8,DBMS,26,8,12,23,69,B+,7.11,91,Pass
S0187,Student 0187,Female,19,Electronics,2,5,Python,22,6,13,49,90,O,9.19,83,Pass
S0188,Student 0188,Male,23,Computer Science,3,5,Data Structures,19,10,11,27,67,B+,6.9,58,Fail
S0189,Student 0189,Male,21,Computer Science,1,2,Cloud Computing,23,9,9,41,82,A+,7.61,63,Fail
S0190,Student 0190,Male,22,Mechanical,4,4,DBMS,23,8,8,49,88,A+,8.98,60,Fail
S0191,Student 0191,Male,20,Information Technology,2,7,Data Structures,18,9,15,25,67,B+,7.15,73,Fail
S0192,Student 0192,Female,20,Civil,1,6,DBMS,25,10,15,48,98,O,10,63,Fail
S0193,Student 0193,Female,24,Computer Science,1,6,Data Structures,29,9,12,42,92,O,8.62,66,Fail
S0194,Student 0194,Male,19,Electronics,2,3,Machine Learning,28,9,14,36,87,A+,8.2,75,Pass
S0195,Student 0195,Female,20,Computer Science,4,6,Data Structures,18,8,14,27,67,B+,7.0,83,Pass
S0196,Student 0196,Male,21,Civil,1,5,Mathematics,23,7,8,41,79,A,7.86,62,Fail
S0197,Student 0197,Female,23,Civil,3,2,Mathematics,22,8,11,27,68,B+,6.77,63,Fail
S0198,Student 0198,Male,22,Civil,3,7,Mathematics,26,9,11,44,90,O,9.22,70,Fail
S0199,Student 0199,Female,24,Mechanical,3,2,Machine Learning,19,6,11,38,74,A,6.98,89,Pass
S0200,Student 0200,Male,21,Civil,4,2,Mathematics,21,10,15,22,68,B+,6.73,87,Pass
S0201,Student 0201,Female,20,Computer Science,4,8,Machine Learning,18,10,15,41,84,A+,8.67,74,Fail
S0202,Student 0202,Male,21,Information Technology,2,2,Python,24,8,9,37,78,A,8.32,58,Fail
S0203,Student 0203,Female,21,Information Technology,3,7,Data Structures,30,7,14,31,82,A+,8.14,79,Pass
S0204,Student 0204,Male,24,Information Technology,2,6,Python,20,10,14,36,80,A+,8.27,63,Fail
S0205,Student 0205,Male,21,Information Technology,1,5,Cloud Computing,28,10,14,37,89,A+,9.29,79,Pass
S0206,Student 0206,Male,19,Electronics,2,5,Data Structures,29,6,8,45,88,A+,8.7,97,Pass
S0207,Student 0207,Male,22,Computer Science,1,2,Machine Learning,18,9,8,27,62,B+,6.08,57,Fail
S0208,Student 0208,Female,19,Computer Science,1,3,Machine Learning,22,7,13,38,80,A+,8.33,93,Pass
S0209,Student 0209,Male,23,Electronics,2,4,Cloud Computing,22,8,8,37,75,A,7.96,92,Pass
S0210,Student 0210,Female,21,Mechanical,4,1,DBMS,28,9,13,42,92,O,9.09,81,Pass
S0211,Student 0211,Female,22,Computer Science,4,4,Data Structures,22,7,15,49,93,O,9.37,58,Fail
S0212,Student 0212,Female,18,Civil,2,7,Data Structures,22,7,13,40,82,A+,8.71,60,Fail
S0213,Student 0213,Male,21,Civil,2,1,DBMS,24,10,8,47,89,A+,8.53,59,Fail
S0214,Student 0214,Male,21,Computer Science,3,5,Python,21,7,9,43,80,A+,8.5,85,Pass
S0215,Student 0215,Female,21,Computer Science,3,5,Cloud Computing,25,10,13,29,77,A,7.53,71,Fail
S0216,Student 0216,Male,18,Information Technology,4,6,Data Structures,23,8,14,21,66,B+,7.04,91,Pass
S0217,Student 0217,Female,22,Electronics,4,5,Data Structures,21,8,11,32,72,A,7.6,91,Pass
S0218,Student 0218,Female,19,Electronics,3,8,Mathematics,28,9,15,25,77,A,7.3,77,Pass
S0219,Student 0219,Male,18,Civil,1,1,Python,28,6,8,33,75,A,7.91,63,Fail
S0220,Student 0220,Female,23,Computer Science,1,4,Machine Learning,25,8,8,39,80,A+,8.2,95,Pass
S0221,Student 0221,Female,18,Mechanical,1,1,Machine Learning,26,9,8,20,63,B+,6.57,88,Pass
S0222,Student 0222,Female,24,Civil,4,3,Python,19,10,10,27,66,B+,6.74,67,Fail
S0223,Student 0223,Male,20,Electronics,3,7,Python,23,9,15,38,85,A+,9.09,70,Fail
S0224,Student 0224,Male,18,Information Technology,1,2,Cloud Computing,24,9,15,21,69,B+,6.31,95,Pass
S0225,Student 0225,Female,20,Mechanical,4,6,Machine Learning,19,10,8,27,64,B+,6.88,68,Fail
S0226,Student 0226,Male,22,Information Technology,1,5,Machine Learning,27,6,10,49,92,O,8.62,75,Pass
S0227,Student 0227,Female,21,Computer Science,4,2,DBMS,20,10,11,38,79,A,8.11,79,Pass
S0228,Student 0228,Female,24,Computer Science,1,6,Python,19,9,11,46,85,A+,8.31,59,Fail
S0229,Student 0229,Female,18,Electronics,1,5,Cloud Computing,25,7,13,37,82,A+,8.12,79,Pass
S0230,Student 0230,Male,23,Civil,3,4,Mathematics,19,6,12,24,61,B+,6.35,79,Pass
S0231,Student 0231,Male,19,Mechanical,3,6,Python,19,6,12,34,71,A,7.41,78,Pass
S0232,Student 0232,Male,22,Information Technology,2,7,Cloud Computing,26,10,14,23,73,A,6.81,56,Fail
S0233,Student 0233,Male,22,Civil,3,7,Python,22,9,14,44,89,A+,9.17,60,Fail
S0234,Student 0234,Male,21,Civil,2,7,Data Structures,20,8,12,28,68,B+,6.38,86,Pass
S0235,Student 0235,Female,22,Electronics,4,5,Cloud Computing,30,6,13,28,77,A,7.97,70,Fail
S0236,Student 0236,Female,24,Civil,2,8,Python,20,8,8,50,86,A+,8.4,80,Pass
S0237,Student 0237,Male,21,Electronics,4,6,Cloud Computing,28,10,10,29,77,A,7.82,75,Pass
S0238,Student 0238,Female,20,Electronics,2,7,DBMS,22,9,11,30,72,A,6.94,79,Pass
S0239,Student 0239,Male,21,Information Technology,2,3,Mathematics,30,10,8,50,98,O,10,84,Pass
S0240,Student 0240,Female,24,Electronics,1,7,Mathematics,25,7,12,27,71,A,7.29,71,Fail
S0241,Student 0241,Female,22,Mechanical,1,8,Machine Learning,25,10,14,37,86,A+,9.11,87,Pass
S0242,Student 0242,Female,24,Information Technology,3,2,Python,30,7,13,25,75,A,7.64,96,Pass
S0243,Student 0243,Male,21,Electronics,4,2,Python,19,8,11,36,74,A,7.47,88,Pass
S0244,Student 0244,Female,21,Electronics,4,8,Mathematics,27,10,10,31,78,A,7.78,56,Fail
S0245,Student 0245,Female,21,Information Technology,1,3,DBMS,22,8,15,45,90,O,9.03,68,Fail
S0246,Student 0246,Female,23,Information Technology,4,8,DBMS,19,8,8,45,80,A+,7.54,100,Pass
S0247,Student 0247,Female,19,Information Technology,2,4,Machine Learning,20,10,10,30,70,A,6.91,90,Pass
S0248,Student 0248,Female,22,Mechanical,2,3,Mathematics,28,9,14,20,71,A,7.56,94,Pass
S0249,Student 0249,Male,22,Mechanical,4,1,Mathematics,21,7,12,44,84,A+,8.77,100,Pass
S0250,Student 0250,Female,22,Information Technology,2,6,DBMS,21,9,9,28,67,B+,7.14,97,Pass
S0251,Student 0251,Female,22,Mechanical,4,2,DBMS,23,9,10,46,88,A+,9.05,98,Pass
S0252,Student 0252,Male,22,Civil,1,3,DBMS,19,7,12,23,61,B+,5.95,66,Fail
S0253,Student 0253,Male,22,Mechanical,4,3,Machine Learning,24,9,10,35,78,A,7.84,95,Pass
S0254,Student 0254,Male,21,Computer Science,4,5,Data Structures,20,8,15,39,82,A+,8.64,58,Fail
S0255,Student 0255,Female,21,Computer Science,2,7,Machine Learning,26,9,14,41,90,O,8.9,86,Pass
S0256,Student 0256,Female,22,Computer Science,1,1,Data Structures,22,6,12,27,67,B+,6.45,89,Pass
S0257,Student 0257,Female,22,Mechanical,1,2,DBMS,30,10,13,37,90,O,9.31,57,Fail
S0258,Student 0258,Female,24,Computer Science,4,2,Mathematics,28,7,12,47,94,O,9.34,57,Fail
S0259,Student 0259,Female,19,Information Technology,4,2,Data Structures,21,10,13,47,91,O,9.23,100,Pass
S0260,Student 0260,Male,20,Civil,2,4,Data Structures,30,6,13,37,86,A+,8.72,72,Fail
S0261,Student 0261,Female,24,Electronics,3,5,Machine Learning,28,6,10,50,94,O,9.9,81,Pass
S0262,Student 0262,Male,22,Computer Science,2,4,Data Structures,29,8,11,44,92,O,9.07,98,Pass
